
27/06/2016 13:01:19 | 12 | 12
27/06/2016 13:11:14 | 32 | 44
27/06/2016 13:11:54 | 2 | 46
27/06/2016 13:12:00 | 90 | 136
27/06/2016 14:09:04 | 10 | 146
27/06/2016 14:13:37 | 12 | 158
27/06/2016 00:00:00 | 10 | 148
27/06/2016 00:00:00 | -10 | 138
27/06/2016 00:00:00 | -5 | 133
27/06/2016 00:00:00 | -3 | 130
27/06/2016 00:00:00 | -130 | 0
27/06/2016 00:00:00 | -10 | -10
27/06/2016 14:20:13 | 100 | 90
27/06/2016 14:20:18 | 230 | 320
27/06/2016 14:48:13 | 20 | 340
27/06/2016 14:48:36 | 20 | 360
27/06/2016 00:00:00 | -30 | 330
27/06/2016 15:01:17 | -30 | 300
27/06/2016 15:01:26 | 10 | 310
27/06/2016 15:19:05 | 20 | 330
05/07/2016 16:08:45 | 4 | 334 
05/07/2016 16:08:54 | -3 | 331 
06/07/2016 09:43:18 | 3 | 334 
06/07/2016 09:43:23 | -1 | 333 
06/07/2016 10:09:33 | 34 | 364 
06/07/2016 10:09:39 | -30 | 300 
06/07/2016 10:09:59 | -3 | 327 
06/07/2016 10:10:07 | 3 | 333 
06/07/2016 10:12:38 | 6 | 336 
06/07/2016 10:13:16 | 4 | 334 
06/07/2016 10:22:38 | 4 | 338 
06/07/2016 10:22:44 | 30 | 368 
06/07/2016 10:22:55 | -30 | 338 
